frame;n_blobs;blob_id;blob_classification;blob_classification_color;blob_motion_index;blob_positive_index;blob_contour_std_deviation;blob_centerX;blob_centerY;blob_speedX;blob_speedY;blob_minX;blob_minY;blob_maxX;blob_maxY;blob_area;blob_perimeter;blob_convex_hull_area;blob_convex_hull_perimeter;blob_aspect_ratio;blob_extent_ratio;blob_solidity_ratio;blob_diameter;blob_compactness;blob_major_axis_rotation;blob_minor_axis_rotation;blob_rotation
0;1;0;true object;green;-2;1;54,28367714782165;160,3025323285927;154,58415147751637;0;0;79;29;226;240;18736,5;645,1198379993439;21327,0;602,7975767850876;0,6966824644549763;0,6040719605377696;0,8785342523561682;154,45404730835116;22,212238431953654;132,82656860351562;250,58973693847656;10,325665473937988
1;1;0;true object;green;-1;2;65,17888508465514;172,85164691694263;147,35345611126326;12,549114588349937;-7,230695366253116;112;29;229;229;15663,5;577,6639947891235;17458,0;545,1153017282486;0,585;0,6693803418803419;0,8972104479321801;141,22105936778416;21,30403108345699;110,41950225830078;229,19322204589844;8,188340187072754
2;1;0;true object;green;0;3;72,10781903733219;185,57182742477204;142,6419612717947;12,720180507829411;-4,711494839468543;128;31;233;233;14987,0;553,0782079696655;16392,5;522,7023462057114;0,5198019801980198;0,7066006600660066;0,9142595699252707;138,1377611551088;20,410722901910763;109,22012329101562;213,16146850585938;8,86743450164795
3;1;0;person;blue;1;4;65,55916335490483;198,4356126155006;144,07431339095902;12,86378519072855;1,4323521191643067;144;35;242;240;13944,0;537,5634899139404;15344,5;505,7199190855026;0,47804878048780486;0,6940766550522648;0,9087295122030695;133,24433275673343;20,72393184799592;100,4742660522461;200,0994110107422;7,309408187866211
4;1;0;person;blue;2;5;66,48241028863012;212,3771360393496;145,12476809290004;13,94152342384902;1,050454701941021;160;38;257;240;13265,0;526,048770070076;14790,0;493,6581344604492;0,4801980198019802;0,6769929570276615;0,8968897903989181;129,9596959095855;20,861463135487348;94,09451293945312;192,23846435546875;4,802404403686523
5;1;0;person;blue;3;6;68,000113092621;226,81614010417098;151,9216892520709;14,439004064821376;6,796921159170864;179;38;268;240;13170,0;522,9360724687576;14082,0;501,392774105072;0,4405940594059406;0,7325620202469685;0,9352364720920324;129,49349328889886;20,764019429692464;82,45953369140625;202,86398315429688;5,235830783843994
6;1;0;person;blue;4;7;70,08774213243156;231,68863384188094;149,94796876998427;4,872493737709959;-1,9737204820866339;182;38;280;240;13005,0;528,0487701892853;14545,0;495,96827030181885;0,48514851485148514;0,6569508991715498;0,8941216913028532;128,67975862302816;21,440638500454952;89,4002914428711;199,07186889648438;5,650231838226318
7;1;0;person;blue;5;8;66,2391772756359;236,01175264196655;150,66968143432143;4,323118800085609;0,7217126643371614;178;39;289;240;13597,5;544,4335463047028;15475,5;504,1788032054901;0,5522388059701493;0,6094527363184079;0,8786468934767859;131,57839757930014;21,798704639964328;97,1375503540039;195,23680114746094;9,248749732971191
8;1;0;person;blue;6;9;62,28056759535834;243,2507322462694;152,44050799738946;7,238979604302841;1,7708265630680273;178;41;297;240;14204,0;556,3330407142639;16162,0;513,9406522512436;0,5979899497487438;0,5998057514463072;0,8788516272738522;134,48083318234703;21,79009097369606;107,70155334472656;190,78367614746094;10,723621368408203
9;1;0;person;blue;7;10;58,7785457672141;248,4922280694601;153,57868127419079;5,241495823190718;1,138173276801325;184;44;305;240;13980,0;550,3330411911011;15826,0;506,4316099882126;0,6173469387755102;0,5894754596053298;0,883356501958802;133,41622403365182;21,6642672551249;108,892333984375;185,1266326904297;11,513711929321289
10;1;0;person;blue;8;11;61,233990340023226;254,87787934866728;152,64441111637046;6,385651279207167;-0,9342701578203219;195;44;309;240;13795,5;539,2619732618332;15351,0;498,27263724803925;0,5816326530612245;0,6174140708915145;0,8986710963455149;132,53292473719102;21,079589417291587;103,71247863769531;184,06797790527344;5,3251519203186035
11;1;0;person;blue;9;12;60,14168698805267;262,4921434208912;153,8677041507677;7,614264072223904;1,2232930343972441;210;45;312;240;13232,0;517,3624782562256;14456,5;485,6070306301117;0,5230769230769231;0,6652589240824535;0,9152976169888978;129,79794164753028;20,228531885385696;92,13780975341797;192,97109985351562;178,3466033935547
